runName,threadCount,implementationStrategy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
eightThreads_constant,8,MULTI_THREADED,16713,16751,17366,15945,17082,17699,15778,15769,15168,16931,15854,17166,15894,16826,15968,17621,16761,15531,16452,16233,15782,16555,16803,16832,17012,16903,16044,16331,15780,16794,17927,17601,16726,15689,16574,16718,15827,18079,15878,15304,17116,17324,16666,16737,16096,17118,15700,17027,17588,16185,16674,17135,16057,16924,17433,17035,15661,16135,15848,16616,16753,16120,15388,15588,16901,16848,15557,15655,17624,15705,16417,16769,14531,16630,14676,17370,15795,16277,14955,17964,15923,16028,16799,16310,15825,18018,17000,14696,17498,17082,15685,16141,16435,16801,16144,16590,16762,17450,17922,16862
fourThreads_constant,4,MULTI_THREADED,18214,16420,17103,17185,18298,16815,16082,17388,17350,18039,16046,16286,17073,16323,17061,17237,15879,17044,16375,16841,16491,15492,15859,16529,17170,17064,17283,16271,17293,17331,15424,17824,15472,15550,17690,17763,16854,16258,16911,17390,17625,18159,18070,18581,17259,16061,15299,15328,16704,17599,17482,16477,16286,15445,15448,16404,15879,16984,17190,17483,17256,15204,15747,17240,16930,16382,16532,16651,15409,17280,16608,15394,16895,15549,17086,16859,16387,15447,17164,17267,17244,16755,15582,17097,17088,16010,16866,15767,16873,17079,17408,15496,16800,17525,16717,17305,16914,15583,17259,15421
singleThread_constant,1,SINGLE_THREADED,30453,23731,20813,27862,30159,29395,27693,28686,29457,29609,29267,28623,22683,28748,27101,21791,20616,21181,20508,19191,19776,21607,21891,20676,26203,27778,29794,29373,30166,32841,32336,30674,30650,30830,30649,27900,25213,28146,31992,30753,30674,28312,30291,29212,31764,32532,29908,31425,31369,31576,31121,24578,29032,30316,25141,22111,29758,29076,30304,31906,31067,32873,32077,31075,29537,30491,32299,32980,33654,32660,32832,31762,31330,31921,33750,33230,33199,33646,34331,33745,33243,31225,34413,33167,33555,32100,32038,31988,31605,29767,29836,32056,32793,25642,23406,22120,29104,32853,32945,31995
twoThreads_constant,2,MULTI_THREADED,21763,21041,21538,22575,21527,22365,22731,23048,21933,23464,22805,21981,23401,21647,21160,21251,22266,21513,16121,17085,15262,16823,20370,22638,22606,21193,22147,21604,20816,21559,20926,21049,21959,20101,19995,19783,18446,19349,21158,20781,15928,14567,14489,17343,19194,19993,20463,21059,20173,19970,20840,21789,17359,16275,15265,19314,21241,21144,20332,20862,20664,20324,21369,21347,20602,21563,20286,21392,20800,21842,19640,20270,20220,17070,15128,13803,15359,14192,14317,15501,15359,18141,21590,21624,17205,19556,21280,22594,22368,21788,22882,21965,20416,20979,23140,20709,21551,21426,21590,21685
sixThreads_constant,6,MULTI_THREADED,17604,15911,18033,17213,17907,17201,17263,16961,16462,16231,17937,17277,17445,17647,16228,17611,18674,15840,15807,18338,17134,17641,15452,15637,15683,18564,16162,17874,17796,15826,17054,16506,16688,17173,17706,17184,16463,17113,15872,17177,17004,16728,17777,16656,17345,18247,17535,16248,16926,17828,15887,17034,17415,17426,18878,17604,18986,16707,18080,16154,15607,16920,17254,16663,17423,16170,16927,15766,17826,15788,17965,17482,16359,17342,16104,16614,14508,17168,16075,17136,17769,17266,15577,15953,17041,17938,15842,15832,17121,18247,17694,17926,17683,17974,17564,18214,16172,17435,16842,15857
fiveThreads_constant,5,MULTI_THREADED,16298,17376,15312,17830,18277,16913,17422,17757,15939,17141,14869,17282,16416,15897,16001,15888,14390,17064,17679,17116,16758,16209,14559,17845,16731,17541,16465,16238,17489,16811,16865,17082,17583,16208,14741,14229,17414,16306,14398,17930,18137,17590,17118,17226,16644,16255,15517,16211,18528,17855,15853,16729,17391,17887,17022,14662,14199,16299,17234,17902,16497,17106,14467,15121,17508,16602,16096,18689,17183,18870,17834,16417,17511,17482,17403,16364,15925,17168,16362,15941,15993,15985,16154,15705,17484,17630,17449,17330,17831,16321,16665,14869,16626,17049,18654,18041,17660,16134,15210,16745
sevenThreads_constant,7,MULTI_THREADED,17650,15749,18700,16375,16937,17627,17682,17889,17926,17433,16203,16696,16515,17430,17843,18089,16807,15487,16688,16316,17891,18211,16337,16441,17004,16528,16305,17635,18144,18328,17800,16267,17178,15427,17311,19368,15654,17727,16411,17792,16585,16614,18517,17054,16508,16522,17417,18969,18308,18218,17921,15983,17672,16585,16125,17823,18096,18106,19221,17645,16871,17043,18199,16891,17734,16813,16298,17558,18068,16603,18194,17910,18113,16735,18277,16641,18055,16502,18562,17135,17815,16518,18208,18037,16527,18867,17861,18286,16675,16642,16403,17793,19434,18072,16607,16618,18008,18487,18295,18721
threeThreads_constant,3,MULTI_THREADED,18732,17724,17518,17387,18537,17895,17344,17446,18423,17967,18097,18843,18618,18945,18702,18494,18278,17437,18296,17567,17190,18822,18234,18750,18782,17881,17356,17895,17976,17015,17870,18254,17732,18313,18273,17628,17814,18251,17798,17746,17789,18253,18050,17652,17590,17163,18162,17977,17924,17279,18007,17963,17672,17730,17515,17720,17900,17076,19388,18094,17973,19188,19024,18567,19326,18222,17989,18198,19119,17582,18433,18734,18021,18192,18441,17722,16879,17648,17581,17672,17936,18639,18243,18926,18628,18453,18682,18802,18323,17762,17854,18040,18094,17699,17343,17724,17976,17733,17897,17669
