runName,length,width,height,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
271x271x271,271,271,271,22174,22168,21858,22070,22187,21945,21958,21933,22394,21933,21192,21816,23199,21833,22359,22053,20747,22186,22975,20717,21652,22045,21872,23257,21887,22100,21277,21782,22868,21910,21156,22203
100x100x100,100,100,100,845,759,684,524,311,316,313,290,352,335,325,437,375,341,336,402,301,302,352,394,307,329,375,377,316,342,370,292,280,297,319,287
310x310x310,310,310,310,31078,32129,33590,32275,33533,32047,33780,34138,32025,33938,32313,32376,33683,33470,31968,33334,32284,32615,33469,33337,32468,32450,33282,33454,33285,32219,32706,33999,32505,32392,33611,33641
341x341x341,341,341,341,44390,43439,44362,43732,44554,44273,44860,44731,43935,44475,44930,44801,44227,45461,44496,44983,44338,43719,44027,44333,44249,44394,44391,44401,44585,43250,44967,44859,43343,43917,43699,44286
50x50x50,50,50,50,136,172,132,134,141,135,137,148,151,158,136,133,136,134,169,152,146,169,138,150,153,150,141,133,149,143,73,49,55,52,51,73
215x215x215,215,215,215,4983,3648,3903,3755,3202,3339,3598,3313,3797,3411,3116,3418,3207,3545,3311,4051,3306,3247,3104,3650,3517,3898,3707,3498,3282,3701,3547,3129,3180,3398,3703,3794
391x391x391,391,391,391,75391,77515,77634,78287,79455,79088,78493,77866,79931,78720,79043,78657,79375,78398,79382,78122,78273,78357,79263,79458,78274,77690,78384,78738,79076,78499,79124,79065,78637,78550,78958,78233
368x368x368,368,368,368,61554,61363,62152,61464,61383,61998,61667,61634,61734,61099,61676,61409,62137,61327,61279,61509,62055,61034,61039,61536,61072,60944,62159,62097,61883,61218,61195,61150,61253,61175,61046,61654
400x400x400,400,400,400,79797,79889,79920,80168,79260,80524,79850,80096,80522,79201,80374,79493,80670,79993,80077,81983,80750,78674,78367,79377,79890,80096,79637,81098,81899,80262,79343,80079,80774,78571,80052,80615
