runName,threadCount,implementationStrategy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
tenThreads_constant,10,MULTI_THREADED,16760,17172,16917,17274,17739,17216,16835,17403,17527,17239,16566,16987,17274,19021,17090,18162,17343,18523,16693,17276,16670,18253,17281,17113,17642,18024,15976,17010,18156,17262
elevenThreads_constant,11,MULTI_THREADED,18391,17188,17458,17213,17243,16487,17980,17786,16993,17977,17253,17139,17771,17554,17494,16578,17099,17127,15773,17132,17072,17545,17100,17387,19068,17206,17687,17219,18884,17281
nineThreads_constant,9,MULTI_THREADED,18130,17041,17093,17319,16675,18523,16967,17966,18463,17768,18110,17979,16714,17846,18489,15700,15788,17472,17089,17041,17458,17960,17655,17675,18018,18286,16050,17667,17263,17262
