runName,threadCount,implementationStrategy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
eightThreads_constant,8,MULTI_THREADED,6324,12301,17338,18296,20340,17756,18220,19891,18393,19786,19719,18715,20514,19051,19597,19065,19609,19724,18113,18734,19476,18639,20637,20089,20118,19852,18872,19739,19000,19415,17922,19164
fourThreads_constant,4,MULTI_THREADED,17612,19560,19772,17984,17411,19582,20811,19514,18710,19025,18950,17697,19332,19894,20163,17289,17132,17029,17923,17941,19314,19286,18210,17498,19218,17964,20240,17889,18146,19070,17716,19115
singleThread_constant,1,SINGLE_THREADED,29325,28534,26950,27578,28592,28463,27202,27742,27118,27188,27815,27632,28223,28598,28901,27510,28576,28252,27206,27730,27706,28524,27986,24996,28025,27424,28779,27458,28488,28972,27569,28180
twoThreads_constant,2,MULTI_THREADED,22827,23129,22583,23202,22784,23070,23196,22886,22912,23605,23023,24381,24253,22949,22941,22827,22885,22502,22968,21927,22946,23435,23414,23614,22091,23805,21638,22286,23111,22144,23050,22837
sixThreads_constant,6,MULTI_THREADED,19725,18219,20019,19644,19850,21352,18286,17431,18758,19904,19103,19593,19508,19562,17980,18318,18464,18700,18865,20442,18298,21240,20168,18880,20164,20117,19583,20172,19528,18446,18835,19465
fiveThreads_constant,5,MULTI_THREADED,17333,22153,19065,21206,19719,21982,21343,21699,18817,19498,19062,16570,18655,20309,17746,16784,19067,18461,20079,19141,20288,18682,20618,20162,19973,19951,18830,18124,17733,21705,21597,18599
sevenThreads_constant,7,MULTI_THREADED,20236,19874,18987,19869,19755,19666,20479,20848,19743,21493,19519,21533,20758,18854,19380,19849,20249,20108,19665,19428,18440,18579,18944,20354,18295,20988,17163,19415,18078,21108,19199,20490
threeThreads_constant,3,MULTI_THREADED,19675,19178,20255,20178,19505,19545,19772,19548,19512,19596,19510,19613,20935,20918,19431,19951,20683,20917,19894,19496,20814,20286,19246,19618,20588,19321,19374,21102,21110,20460,19255,19326
