runName,threadCount,implementationStrategy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
oneThreadsSeq_constant,1,SINGLE_THREADED,27807,29293,25554,25080,25446,24830,25286,25745,25713,24885,24338,21758,23000,24744,24895,21186,18293,18505,25212,25363,25141,25355,26535,26393,22411,18737,18382,18331,24005,25691
oneThreadsPar_constant,1,MULTI_THREADED,33810,33528,32446,33206,33238,33083,32875,32194,32572,29180,33808,32412,32506,32513,32903,31946,33127,32218,32839,33363,32944,32340,32686,29488,26260,26630,28102,28172,26708,27129
